,0,1,2,3,addr
70,__INPUT__,GWF,CHD,AUXVAR,__INPUT__/GWF/CHD/AUXVAR
71,__INPUT__,CHLORIDE,NAM,FTYPE,__INPUT__/CHLORIDE/NAM/FTYPE
72,__INPUT__,CHLORIDE,NAM,FNAME,__INPUT__/CHLORIDE/NAM/FNAME
73,__INPUT__,CHLORIDE,NAM,PNAME,__INPUT__/CHLORIDE/NAM/PNAME
74,__INPUT__,CHLORIDE,PKGTYPES,,__INPUT__/CHLORIDE/PKGTYPES
75,__INPUT__,CHLORIDE,PKGNAMES,,__INPUT__/CHLORIDE/PKGNAMES
76,__INPUT__,CHLORIDE,MEMPATHS,,__INPUT__/CHLORIDE/MEMPATHS
77,__INPUT__,CHLORIDE,INUNITS,,__INPUT__/CHLORIDE/INUNITS
78,__INPUT__,CHLORIDE,DIS,INPUT_FNAME,__INPUT__/CHLORIDE/DIS/INPUT_FNAME
79,__INPUT__,CHLORIDE,DSP,INPUT_FNAME,__INPUT__/CHLORIDE/DSP/INPUT_FNAME
80,__INPUT__,CHLORIDE,DIS,LENGTH_UNITS,__INPUT__/CHLORIDE/DIS/LENGTH_UNITS
81,__INPUT__,CHLORIDE,DIS,NLAY,__INPUT__/CHLORIDE/DIS/NLAY
82,__INPUT__,CHLORIDE,DIS,NROW,__INPUT__/CHLORIDE/DIS/NROW
83,__INPUT__,CHLORIDE,DIS,NCOL,__INPUT__/CHLORIDE/DIS/NCOL
84,__INPUT__,CHLORIDE,MODEL_SHAPE,,__INPUT__/CHLORIDE/MODEL_SHAPE
85,__INPUT__,CHLORIDE,NCELLDIM,,__INPUT__/CHLORIDE/NCELLDIM
86,__INPUT__,CHLORIDE,DIS,DELR,__INPUT__/CHLORIDE/DIS/DELR
87,__INPUT__,CHLORIDE,DIS,DELC,__INPUT__/CHLORIDE/DIS/DELC
88,__INPUT__,CHLORIDE,DIS,TOP,__INPUT__/CHLORIDE/DIS/TOP
89,__INPUT__,CHLORIDE,DIS,BOTM,__INPUT__/CHLORIDE/DIS/BOTM
90,__INPUT__,CHLORIDE,DIS,IDOMAIN,__INPUT__/CHLORIDE/DIS/IDOMAIN
91,__INPUT__,CHLORIDE,DSP,XT3D_OFF,__INPUT__/CHLORIDE/DSP/XT3D_OFF
92,__INPUT__,CHLORIDE,DSP,ALH,__INPUT__/CHLORIDE/DSP/ALH
93,__INPUT__,CHLORIDE,DSP,ATH1,__INPUT__/CHLORIDE/DSP/ATH1
94,__INPUT__,CHLORIDE,DSP,ATV,__INPUT__/CHLORIDE/DSP/ATV
95,__INPUT__,SODIUM,NAM,FTYPE,__INPUT__/SODIUM/NAM/FTYPE
96,__INPUT__,SODIUM,NAM,FNAME,__INPUT__/SODIUM/NAM/FNAME
97,__INPUT__,SODIUM,NAM,PNAME,__INPUT__/SODIUM/NAM/PNAME
98,__INPUT__,SODIUM,PKGTYPES,,__INPUT__/SODIUM/PKGTYPES
99,__INPUT__,SODIUM,PKGNAMES,,__INPUT__/SODIUM/PKGNAMES
100,__INPUT__,SODIUM,MEMPATHS,,__INPUT__/SODIUM/MEMPATHS
101,__INPUT__,SODIUM,INUNITS,,__INPUT__/SODIUM/INUNITS
102,__INPUT__,SODIUM,DIS,INPUT_FNAME,__INPUT__/SODIUM/DIS/INPUT_FNAME
103,__INPUT__,SODIUM,DSP,INPUT_FNAME,__INPUT__/SODIUM/DSP/INPUT_FNAME
104,__INPUT__,SODIUM,DIS,LENGTH_UNITS,__INPUT__/SODIUM/DIS/LENGTH_UNITS
105,__INPUT__,SODIUM,DIS,NLAY,__INPUT__/SODIUM/DIS/NLAY
106,__INPUT__,SODIUM,DIS,NROW,__INPUT__/SODIUM/DIS/NROW
107,__INPUT__,SODIUM,DIS,NCOL,__INPUT__/SODIUM/DIS/NCOL
108,__INPUT__,SODIUM,MODEL_SHAPE,,__INPUT__/SODIUM/MODEL_SHAPE
